question,answer_a,answer_b,answer_c,answer_d,correct_answer
Jaki kolor ma niebo?,Niebieski,Czerwony,Zielony,Żółty,A
Jakie dźwięki wydaje pies?,Miau,Kwa,Hau,Chrum,C
Które zwierzę jest nazywane królem dżungli?,Słoń,Lew,Tygrys,Niedźwiedź,B
Ile to jest 2 + 2?,3,4,5,6,B
Który owoc jest czerwony?,Banan,Jabłko,Pomarańcza,Winogrono,B
Jakie zwierzę ma długą szyję?,Słoń,Żyrafa,Tygrys,Koń,B
Jakie zwierzę pływa w wodzie?,Lew,Krowa,Delfin,Kangur,C
Jaki owoc jest żółty?,Banan,Jabłko,Pomarańcza,Gruszka,A
Który pojazd lata w powietrzu?,Samochód,Samolot,Pociąg,Rowerek,B
Co świeci na niebie w nocy?,Słońce,Księżyc,Gwiazdy,Chmury,B
